Question title,Question body,label
Real estate ownership transfer,"Orally only 90 years ago, documents of the Act on Special Measures for Registration of Transfer of Real Estate Ownership, etc. . From the ancestors who bought the land to this day, the father is doing farming. How to proceed. I wonder",law
The landlord is not allowed to sell jeonse,"I am a jeonse tenant and I decided to buy and sell chonsegwon to other people with permission from the landlord while paying the balance ahead of time (I did not write a new contract stating that the existing cheonsei contract was followed and the jeonse was given to others). But after paying the balance, the landlord I changed my mind and opposed the new jeonse and changed it to a house sale (a new jeonse was saved). I believe in real estate that the balance will be injured and the jeonse will be renewed, and the landlord also allowed me to receive the jeonse. In the situation where I have already found another house, suddenly the landlord refuses to sell the chonsegwon and insists on selling the house. .?I am curious if I can claim compensation for damages, even though I pay interest on the jeonse balance and seek another house, pay real estate fees, move in, and even claim damages. Whether entering the jeonse house or not, that's the case. Is there any legal solution? If you answer simply, it will be of great help to me. Thank you.",charter
"If I receive a special service number for the same apartment complex, can the general not receive a spare number??",I applied for both special and general in the same apartment complex. I applied for the special work as 84 and the general as 110. The result is the special work 84 reserve. The 110 did not appear at all. Can't you get it??,"Sales, subscription"
Can I be caught living together without the owner's knowledge?,"My friend decided to join my studio soon, but when I think about it, this is the principle for one room per person. I'm trying to live secretly, but there's nothing to be caught? The landlord lives in the same building, but I think the water tax should be changed every day to take a shower...",administration
When you leave the officetel and do not clean up,What happens if I leave without throwing away the trash when I leave the officetel?,administration
In case the seller dies after receiving the down payment for the real estate contract,"The seller died after receiving the real estate down payment. The buyer wanted to maintain the contract and tried to pay the balance after the transfer of the inheritance, but the approval of the loan was rejected in the name of the buyer (because the inheritance processing period is lengthened and the loan regulation is strengthened). In this case, the down payment is received in the name of the buyer and the balance is received in the name of the buyer's acquaintance. I'm curious",contract
What qualifications do I need to set up a real estate investment advisory company?,"Hello, what kind of qualifications do I need to set up a real estate investment advisory company?",loan
Transfer from general high school to general high school (high school),"I received an assignment, but I want to go to another place and transfer because there are a lot of problems. I'm trying to transfer school, but the address I'm currently registered with is different from the old one. Can I transfer to the old one where I moved??? Can I choose the school I want to go to? The district is different, but the school district is the same, so will it be transferred?",administration
Violation of noise regulation for specific construction work,"A noise measurement request near a specific construction site exceeded the regulatory standards. At this time, it was said that the first administrative disposition and the first fine for negligence would be charged. 1. Can I request the noise measurement again the next day? 2. If a violation is made under the assumption that it has been measured, is it immediately second? Can I impose a secondary penalty on the assumption that I got off and violated the noise measurement?",loan
"1 If there is one sale right for a house, after purchasing a house with a publicly announced land value of 100 million or less in the unadjusted area","1 house (less than 300 million won) in Seoul for the 6th year of real residence + the right to sell in adjusted areas 1 (less than 400 million) in December 2022. Now, I'm going to sell a house in Seoul, where I live, after that. I don't know if the capital gains tax is excessive in each of the above two cases.",Trading
"I'm going to go to Pohang from Yangsan, Gyeongnam...","There is an intercity bus terminal here and Pohang is one of the destinations, so I think I can go there, but I am going to go back in the afternoon this Sunday morning. Would it be better not to go to this country..?Of course, I will wear 94 masks and prepare firmly. Besides, because the competition for the certification exam is fierce, I have no choice but to go on an expedition far away. I mean...I'm not a corona test target or get caught up in a headache... Besides, I have to go to work the next Monday. It seems that it takes about 2 hours to go to the company. Do you want to know that you have been to Pohang or do not want to..?",administration
Inquiry about the possibility of setting up a personal root mortgage for the reconstruction apartment registered in trust,"Hello, I am planning to purchase a reconstruction apartment that is being relocated, and it is currently registered as a trust in the association. I would like to set a root mortgage (individual) by borrowing some funds from an individual. Is it possible to unlock the trust, make it clear, establish a root mortgage (individual), and establish a trust again?",law
Is there any noise between floors on the top floor of the villa?,I wonder if there is any noise between floors or other buildings on the top floor of the villa. I was thinking of going to the top floor of the villa because of the noise between the floors.,law
Obligation to cooperate with officetel maintenance,"Is it an obligation to cooperate unconditionally if you are an officetel tenant, but if you say that there is a problem in our house living on the upper floor because water is generated from the lower floors, is it obligatory to cooperate unconditionally? Is there anything that can be compensated for taking various damages?",law
This is a real estate law question that will be revised from April 1st.~~~^^,"Since there is no place to ask for help, I asked for help from an intellectual.",law
Please help me about moving in to a private house ㅠㅠ,"A total of 4 floors, 1 floor, 2 shopping centers, deposits total of KRW 20 million, 2 floors, 201 units (no guarantee for younger brothers of the landlord) 2nd floor, 202 units (10,000 tenants) 3rd floor, 301 units and 302 units (during residence, each 100 million won Thousand) 4th floor 401 (280 million) 4th floor 402 house 100 million (only 1.5 rooms in this room, the rest are 3 rooms) The maximum amount of bonds is 301 thousand, and if you go to me, the total deposit amount is 97,000,000. The public announcement is 822 million won.. Is it okay to move in?",administration
Application for provisional injunction against real estate sales,"I'm living in a chartered life, but in January the landlord made an appointment to buy and sell, and in February I decided to sign a contract and proceed with it. In the meantime, I would have signed a contract for another apartment. In recent years, the transactions for the other apartments have been completed and the sales amount has also increased. I'm trying to apply for temporary injunction.",Trading
I ask a question about the authority of a legal counsel.,"Hello, I would like to ask you about the scope of work and authority of the judiciary. In the process of purchasing land according to a plan for a new public building project at the county office, a committee officer A involved in the project promotion bought and sold the land of B (the county office consulted with B. When the county office conducted an appraisal of the land, the amount of land A was evaluated higher than the land acquired by the county office. In order to prevent the fear that suspicion of a coalition relationship may be raised, the county acquires land from A to A after completing a consultation form through a legal attorney to receive only the land sales proceeds and essential expenses, etc. at the time A acquired from B. After establishing and authenticating the consultation unit price I'm going to do the question here. I am wondering if the legal counsel can make a fair decision on the negotiated unit price, etc. in the preparation of the negotiated unit price, for example, the amount of land acquired by A from B and the required all use are listed immediately. It is a situation in which the person A is requesting interest incurred to acquire the land among all the expenses presented to the military. I am curious if it is possible to present the unit price decision as a third party in the decision of the consultation unit price among the authority of the legal counsel.",Trading
Whether real estate down payment can be returned,"I paid 1% of the total amount as a temporary down payment for the sale of a single townhouse last weekend, and I do not currently have receipts or temporary contracts. I paid a temporary down payment and went to see the second and third houses, and I found a crack on the exterior wall that was not visible for the first time, and a leak in the parking lot. I contacted the owner of the townhouse, and according to the Housing Act, it is said that repairs for defects are carried out for two years, but it is a worrisome situation because exterior wall cracks or leaks do not disappear after two years. I requested a structural diagnosis for the crack on the exterior wall from the developer, but I have not received an answer yet. (How to repair defects according to the housing law is a part that requires study alone) Before paying the 10% down payment, we would like to complete the discussion with the developer about the defect, but if it is not completed, we will not proceed with the 10% down payment deposit. I am also worried about whether I should give up the sale of townhouses... When the final contract is not carried out, I want to check whether it is possible to recover 1% of the down payment if only provisional down payment has been made without documentation, and if it is really impossible to return it when it is deposited to Woori Asset Trust, but there is no place to check. Leave.",loan
Regarding the leasehold registration order,"On February 1, the current house contract expiration (guarantee 1000/month) Two months prior to the contract termination notice to the landlord. ) I understand that the landlord continues to postpone after the transfer, and the deposit cannot be returned. The landlord also tries to send a text message saying that he is going to apply because he is reluctant to register the leasehold. I would appreciate it if you let me know",law
Questions about the contract for publicly supported private rental apartment,"I would like to sign a public support private rental apartment contract, but please inquire. We are looking for union members. There was no autonomy (bank loan) and it was before a guarantee was issued by the Housing and Urban Guarantee Corporation.",law
Why are couples living with the landlord secretly?,"Even if you meet by chance, you can just come and look around, but even if the landlord resides in the same building, it is rare to meet the landlord. Even if it's on CCTV, it's for recording to check what happens. I think it would be possible to live together secretly if I just wanted to...",administration
"It is before the officetel contract, but when you leave, pay cleaning","The officetel contract was made and the contract was written before the contract was written. In the meantime, when I was living in a studio, the cleaning fee was guided, but this time the officetel has to pay 70,000 won for cleaning without saying that. I cleaned it. If you are confident to clean it in that state when you enter the officetel, is there any problem if you pay the bill and clean it?",contract
Move-in notification question,"I am currently registered as the home address of my relative sister and I am trying to report moving in to my home. However, my parents are divorced, so the head of the household is still a dad. I don't even have it and I don't have the stamp I have. In this case, can I not report the move-in?",law
Please make a tree wiki at Gongneung Middle School,"I'm going to Gongneung Middle School, but please make me a document on Gongneung Middle School.",administration
Inquiries about neighborhood shopping centers and housing appraisal methods and sales rights in the street housing business area,"We have neighborhood shopping centers and houses within the area approved by the street housing business association in Seoul. The land area is 43 pyeong, total area 213.21㎡, neighborhood living facilities 45.45㎡, housing 167.76㎡, and the first floor is commercial and housing (currently being used as storage and housing for goods). ), the ground floor is used as a house (two units are being rented), and the second floor is used as a house (chartered). Commercial income and rental fees are the main sources of income, and if you are curious: 1. How is the appraisal of neighborhood shopping centers and houses done?2. Is the shopping center and the house separate, or is it the whole building?3. How are rental income and commercial income applied at the time of evaluation? 4. Do I have to choose the apartment and the shopping mall at the same time or only one of the tenant tickets?5. The union seems to be promoting it as it did not open a separate mall. What should I do in this case?6. If there is not a lot of rights, so if you only have to do one of an apartment or a shopping mall, do you have to take the property you have saved for your life and get a single apartment or a shopping mall to eat mustard while crying? It is not a general complex reconstruction, and there will be no market profit margin for a 7-story single apartment. If I don't do business, I have to lose all of that? Is there any way to be excluded from the business area?",law
Housing Lease Protection Act,"I tried to find out another house because the landlord said it was bought and sold after leaving the contract period for about 2 months. Later, I found out that the contract was signed again by rental rather than by sale. I think the landlord deceived me because he wanted to get more money. Is there any way to get compensation? I say like there's nothing.. I'm so angry",Trading
Whether the housing rental protection law applies,"Good morning. 2 As a homeowner, I am curious if it applies to the Housing Lease Protection Act. Wol Sejun housing expires for two years around May this year. When it expires, we intend to sell the house. However, if the tenant wants to extend the lease for two years under the Lease Protection Act, I want to do it, so I want to move to the real residence and sell it. Question 2) If you rent the house you are currently living in and move to an apartment that is due to return, will this also apply to the Housing Lease Protection Act?",law
I am wondering if it is possible to offset the debtor's real estate with accounts receivable.,"The debtor has about 400 million credit sales receivables, a mortgage of 150 million won has been set for the debtor's apartment, and there are 100 million loans from senior banks and no subordinates. The apartment market price is about 400 million. The debtor's other debts are not currently, and the property seems to be all the apartment. Since the debtor has no room to pay off other than the disposition of this apartment, we, as creditors, just buy this apartment and take the rest of the rest. I ask for a reduction in the amount of the unsettled payment. So, the price of the apartment is likely to continue to rise in the future, so we are just considering buying this apartment by our creditor. Should I repay and register the transfer of ownership? Is it better to do it through a lawyer? Thank you.",loan
Small and Medium Business Administration Two-Room Charter,"I'm looking for a two-room charter. Please see if it's a safe place. I got 7,600 loans from the Small and Medium Business Administration 80 pro. It was put out at the same time as the sale of the building and the charter. Is it okay to go in? I'm trying to check and sign a contract tomorrow today, but what happens when the building is sold... Illegal Modification? It seems like they built a parking facility in February and received a correction report in April. Is there anything like this in Sangam?? I have a lot of worries about this and that because the charter is the first, so I have a lot of worries about this and that. I have a villa on the 1st floor and 3 shopping centers on the 1st floor. It's written on it. Is it okay to sign a contract?",Trading
I want to sue an interior company. I want to know how to sue.,"I pretend not to know if the two bathroom doors were installed with a door other than the one I wanted. I gave the door and the front door key to make it easier to come in and out during construction, but if they are lost or not returned, and if they are lost, there is only one key, so all handles must be replaced is. I don't have A/S that there are too many partial construction defects, and I avoid contacting me. I talk as if I'll do everything before I pay the balance, and then I avoid contacting me after paying the balance and pretend I don't know. I want to sue the interior company. I want to know how to sue.",loan
"Registered mail arrived earlier than the submission period for the applicants who are eligible to apply for Happiness Housing, but was it received?","Good morning. I am curious and write it. I was selected as a recipient of the Happiness Housing document application, and I prepared and sent the documents eagerly. The submission period is specified from 4 to 8 days, but it is said that the registered mail arrived 3 days before the day before. There is a recipient, but only those who submitted this only within the application period. I called and inquired about whether it was applicable, but it is said that it cannot be confirmed whether or not the application was received within the application period. It only says that text messages are sent to those who have not received the application after 8 days. I was wondering what to do with this situation. I just feel frustrated if I have to go in person to find the documents. I ask if the documents I prepared up to date are not available within that period, so I ask if there are cases where they are dropped out. Many answers from those with such experience are requested ㅠㅠ!",law
Real estate brokerage,"I went into a rented house in a house with many loans, but I signed a contract by paying all the remaining days in the contract and even registering the cancellation. ●I took responsibility for real estate and went to the bank with me to cancel it, trust it, and get a contract",contract
Lease Protection Act,"I tried to find out another house because the landlord said it was bought and sold after leaving the contract period for about 2 months. Later, I found out that the contract was signed again by rental rather than by sale. I think the landlord deceived me because he wanted to get more money. Is there any way to get compensation? I say like there's nothing.. I'm so angry",Trading
Condensation Leakage Leakage Reoccurring after the second construction of a private house. Should I just live?,"On December 19, 2020, I signed a contract for a charter house (the state that the owner was transferred last year. The real estate contracted by me and I, and the real estate contracted by the landlord's agent and your real estate, a total of 4 contracts. On January 1st, a lot of water leaked from the ceiling crack in the window and from the embedded air conditioner (6th out of 5th floor house, facing north) At this time, the mat and the mat cover ran out of water, so I did self-washing (I asked for laundry, but couldn't receive it) On the 5th, the owner (former landlord) and the working people came and opened the ceiling, and as a result of checking, it was a leak due to condensation. When I went home after work on the 12th, the floor where the water leaked was turned into a sea of ​​water. The wooden desk and the floor underneath it were filled with water, and the tree was swollen and there was a laundry dryer underneath. It's all wet. (I can't get any laundry or desk damage fees.) I was annoyed by the landlord, the contractor, and the real estate agent. The most annoying thing is I... And when I asked the landlord to pay for laundry expenses, etc. through the real estate, I didn't say anything. The problem was, the water leaked again on January 30th. When talking about real estate, the owner (the former landlord) says that he is installing something outside the building, and it is spring so there will be no condensation. And they can't do anything (there's nothing they can do other than telling the story between the owner and me) From my point of view, I have to live in a house that doesn't know when the water will leak, and what a real estate that needs to arrange between tenants and landlords can't do anything. This is a ridiculous situation. I am wondering how far I can ask the real estate or the owner (former landlord) to do so (damage compensation, repair, etc.) I just have to keep living with no luggage in the space when I don't know when the water will leak. In other words, I couldn't sign up for guarantee insurance. It is a multi-family house and there are no items that meet the terms of the guarantee insurance, so it is impossible to subscribe.",monthly
Strange part of contracting a private house,"I'm going to rent a villa at 6000. I've only placed a down payment on the real estate, but I checked the registered copy and found that the owner of the landlord bought the villa I want to enter at an auction for 2600 He said he was selling the building to Boone. He said he was going to sell the building when there was a tenant.. I asked the real estate how much it would be sold, but I think the deposit will be more expensive than the house price.",contract
Presents to employees in the office,What happens if a service company at the apartment management office gives or distributes a gift to the employees at the office by a specific person without the consent of the employee.,law
"I am a homeowner who is going to live, and I have a question about requesting the right to renew drugs around the world. (Pore)","This time, I had a jeonse and bought and sold. The tenants' charter maturity date is March 22, and our balance is March this year. I am planning to live in accordance with the time of the tenants leaving. When I know the law, the Global Drug Renewal Application District said that tenants can do it 6 months to 2 months before the expiration of the charter period. I wonder if it doesn't matter if you are contracting a house.",contract
Loan for public private rental apartments.,"I won, so I put in the down payment, but the rest of the money has no countermeasures. It's about 160 million, but only 250 down payment. I work for the 4 major insurances and get about 2500 annual salary, I have about 3,000 arrears in tax.",loan
I ask a special question for the first time in my life without priority.,"I won no rank, but I'm not going to sign a contract because it's on the first floor.","Sales, subscription"
"Housing Lease Protection Act, monthly rent increase, studio renewal contract","The question now is not in the case of implied renewal. The tenant can claim two years with the duration of the first one-room contract under Article 4 of the Housing Lease Protection Act as two years. At first, I signed a one-year contract for a studio contract, but it expired on February 3, 2021, so I wanted to live one more year, so I said that I would live for another year. There was no act) Is it legally possible to pay 20,000 won more per month to live for one more year? If it is not possible to post, please attach a list of legal provisions applicable to it 2. If you want to live for one more year, you have to renew the contract for one year (as if you want to rewrite the documents). If the contract is less than two years, you can claim two years, so you don't have to renew it? Does it just mean extending to 2 years? It is difficult to hire it unless it is explained in detail by an expert.",monthly
Inquiries about moving in,It's been about a month since I reported moving in. I contacted him and asked if he was at home that he had to check if he reported moving in.,administration
I am curious about the temporary structure in Gimpo city.,"Currently, we rent an office on the first floor of the villa for rent. There is a ground parking lot next to it, there are 4 parking lines, and there is a space of about 4m×4m without a line at the back. Consult with the building owner to use the space as a warehouse type. I want to do it. 1. Containers, 2 sandwich panels, 3 tents (with a roof and an exterior wall), I'm thinking about three of them. There are three sandwich panels in the nearby villa parking lot in the same alley. Do both of them need to report a temporary building?",law
Apartment sale,"A 12-year-old apartment of 170,000 last week, I made a deposit of 200 from a real estate agent last week, wrote a contract and made a deposit of 700 yesterday evening. But with this contract, the acquisition tax for 8 progers is about 1,400 because it is a multi-household. If there is no rental business, it is about 2 million won. There's a lot of this. I'm told that my real sister pays, but I'm upset. Which is better? ㆍㆍI don't have knowledge so I'll only know now.",contract
Please tell me how to use the meridian loan,"This is Burin, who is interested in auctions. When I do an auction, I get a meridian loan, but I'm considering a monthly rent-profitable real estate. How can I pay a meridian loan and win a profitable real estate after winning a profitable real estate bid? I don’t know because I’m so ignorant of whether to do it. I want to make a profitable real estate system.",loan
Can I buy an apartment while renting a rent?,"There is still a long time left on the rent contract, but I would like to buy a good apartment for sale in the middle. Would it be okay if I bought an apartment and didn't report moving into the house and live at this rented address for the remainder of the year? It's a jeonse, so I have to get the deposit back, so it's not okay to report the move-in in a hurry because the house I bought is my house, right?",administration
Is real estate real estate agent worth living?,,law
Isn't the real estate fee too high?,Isn't the real estate fee too damn worthwhile? I can't handle my nose and I suffer from nose bloating.,law
Real estate contract termination,"Currently, I have a contract for a studio for 300 thousand won for a month (including administrative fees). The real estate agent informed me that ""all the studios in the building were unified at 420,000 won,"" and I signed a contract with a down payment of 1 million won. When I came home and checked again, I found a sale of 300/31/management fee 8 of the studio on the same floor in the same building. The two studios are studios of the same building and are different real estates. In this case, I am curious to see if the contract with the contracted real estate can be returned to 1 million won or if the monthly rent can be changed to 390,000 won.",contract
Terms and Conditions of Private House Contract,"It's a one-room contract. The contract says that you have to live for one person. You always talk so hard that you have to live with one person. Maybe it's because college students stay together almost every day or sell their room on vacation. 60,000 won per month includes internet and water tax What should I say and leave the room, then what should I say? So, is living together for 2-3 weeks? What is the standard and what is it? I can’t know because I watch CC TV so often.",administration
Can I report the move-in to my home after receiving the jeonse loan?,"It is no different that this time, I obtained a jeonse house in Gyeonggi-do with a jeonse loan, and I filed a report of moving in. Because of that, I was originally the head of the public rental housing in Seoul, but became the head of the household in the Gyeonggi jeonse house. Will there be any problems with administrative procedures related to leasing out even if I change it back to rental housing? My parents are living in Seoul right now",Trading
Report on the status of the business site of the rental housing business (change of tenant + increase in jeon tax),"Hello, I would like to report on the status of the rental housing business. I have two houses as a rental business. For one, the jeonse is 150 million, and the jeonse was extended to the same amount in November last year. The other one was 270 million won in jeonse, but last year, I changed the tenant and raised 10 million won to make a contract for 280 million won. Is it also subject to report on the status of business operators who have raised 10 million won in cheonsei?2. If your tenant has changed, please make sure this is also subject to reporting, and let us know how to report this on Hometax. Thank you!",Trading
Delinquent loan contract for state-owned property,"Six to seven years ago, a state-owned land was borrowed for the purpose of farming. After that, a person named the landlord appeared and did not farm. I called because I didn't receive a payment receipt, but time passed just saying that I had sent Giro to pay the house address before moving and that I would send it back. After that, I did not receive a receipt saying that I would send it back, and there was a person who said he was the owner of the land, so I forgot about it. Do I have to pay all of them? I didn't use the land and didn't send me the payment slip by registration, but at this point, 6 years has passed, and I'm not convinced that I have to pay the payment.",administration
Report of moving in 2 people to the officetel,"First of all, at the time of the contract, I was planning to live at this officetel by myself, so I signed a contract alone. I wonder if I have to say that I am filing a report?",administration
Report of moving in 2 people to the officetel,"First of all, at the time of the contract, I was planning to live at this officetel by myself, so I signed a contract alone. I wonder if I have to say that I am filing a report?",administration
It is a problem related to real estate from small and medium businesses.,"First of all, the landlord said that there was 100 million light in the building, but he paid it back, but he said that the light remains because he did not apply for cancellation. The loan was decided accordingly. But it turned out that it was not in a state of repaying the light, and it is said that the money will be paid back soon. And if one side of the contract voluntarily breaks the contract, the down payment is doubled?... There was a saying that I was wondering if this is the case, so I ask.",contract
How to write the detailed address of the Weverse shop housing,"Good morning. This is Ami, who is 6 months old. I ordered the Webus Shop for the first time, but I heard that I live in a house? But in the case of a single-family house, I asked you to list the detached house in the delivery address. Is it correct to write a detached house in the detailed address of the Weverse Shop delivery address?",administration
Please answer if you have more details regarding the superintendent's law and the move-in report.,"ㅜ As you can see, it is a house that was introduced through an intermediary in the assembly building. It was chartered in the part that was the 7th floor management room, but there are 5 rooms each from the 2nd to the 6th floor, but on the 7th floor, etc.",administration
Civil complaints related to new construction,"I am the owner of a small building under direct management. (There is no clear evidence, but I will repair it) The other one was damaged due to a hit-and-run accident that occurred on the day of no construction. There is also a responsibility ㅜㅜ If you do not repair all three cases, you apply for a construction ban and threaten to stop the construction for three years. Will the construction really stop if I don't do it as requested?",administration
Conditions for cancellation of trust registration worldwide drug-related,"I signed a contract on the condition of the cancellation of the trust registration on the balance day, and the moving in was done in advance in consultation with the landlord on Jan. Ira Bank completed remittance of the loan + my money. The real estate received it by sending a photo of the receipt. I filed a move-in report before the trust registration was cancelled, but is there anything wrong with it?2. How can I confirm that the trust registration has been cancelled?3. Is there any problem with the process? Is the charter money safe? It's a first-time contract, so I'm very worried. Thank you for your answer!",law
Real estate rental business address,"It is a corporation that operates real estate rental business. I heard that in order to do real estate rental business, the corporate address must be the building location under the tax law. I'm curious here. Question) The address on the corporate register is the apartment where I live. Thank you.",administration
This is a redevelopment copy question,"Hello, my father built a house on the electric power site, and it is an old building that is nearly 60 years old. Because you did not register a new copy, only the copy of the building before the new building was built, that is, the old address will not appear in the registry office. He said he would just leave it because his father lives in the area where he is expected to be redeveloped. 2. My father said that there is no big problem in receiving compensation even if I do not register a new copy. Is it necessary to register a copy with a newly built building?",administration
"After purchasing an officetel, what should I do for a general rental business or a housing rental business?","I currently live in an apartment, but I have purchased an officetel. It was in front of the university, so I wanted to rent it, but I plan to sell it in the next few years. I am in a situation where I am trying to get another apartment sale. So I don't know if I should use an officetel as a general rental business or a housing rental business.",law
Regarding the lease extension contract,"Currently, I am a tenant living in a local apartment charter with 150 million apartments. April 30 is the contract expiration period and I was planning to live by extending the jeonse. Upon receiving the call, we communicated that we did not want to do that. Yesterday, on February 1, the landlord was contacted directly and asked to leave the house because they would come in and live. However, I don't want to raise the jeon tax because it has to be returned anyway, and if I don't want to receive the monthly rent even if it is 50,000 won, they ask them to go out. It's not a big deal, but the landlord's attitude is bad, and I came to the jeonse, but it seems like I'm paying 2.4 million won in two years. Is there no ㅠㅠ",Trading
The ceiling of the villa is leaking....,"There's a leak from the ceiling right now, but I think it's leaking from the upper house. So I asked for a condition check and repair at the upper house, but he said he couldn't repair it because he's a chartered tenant. I told them to do it, so I sent a photo and contacted us, but I also got a dive.I couldn't contact us, so I read a copy of the register of the upper house. Is there any way to legally enforce contact with the landlord or find a solution to this situation?",loan
Relationship with the tenant,"Since the lease period was ��, I even gave the cost of moving and cleaning, but I have been holding up for 3 months by saying that I will emptied it while delaying the child's work. The building owner is in a state of buying and selling the building just because the tenant vacated it. However, the tenant did not emptied it, so the buyer is not paying compensation for damages and the balance. How can I clear the tenant? please",Auction
Is it possible to offset the sale and receivables of real estate?,"I am a creditor of a corporate company. I have an unsuccessful customer, but the customer is telling me to take an apartment. I am wondering if it is possible to repay the senior bank's lieutenant and register the transfer of ownership after the company's settlement of accounts and receivables instead of paying the trading price.",law
"I want to buy an apartment, but the period between the date of deposit and the balance of the deposit is long, so I am trying to insert an intermediate payment. So, I just write the contract and I want to put the intermediate payment on the day of deposit. Is it okay, or is it good to put the down payment in the middle payment and put it in a day or two later??",,contract
Please help with illegal buildings..,"I was damaged by an illegal building next door. I filed a complaint about the illegal building two years ago, but I am not imposing any fines other than a corrective order. Can't I punish public officials for negligence, etc.? Also, what can I do if I don't take measures such as granting compulsory performance money continuously? ..",law
Why does detached house partially cover the address in the real estate transaction price inquiry?,"In the real estate transaction price inquiry by the Ministry of Land, Infrastructure and Transport, why does the street name address not appear to the end of the detached house, and the lot address only shows the first digit? Why can't I search by the address of the detached house I want to search?",loan
Stress and insomnia chest pain due to noise,"The place I moved to on the 15th of last month is a new officetel. It is a building that has not been renovated at the moment, and real estate transactions have been made from the place where the construction was completed. I looked at the floor, and the floor is currently under construction and I was informed that the construction was finished on February 10th. The sound of drilling and nailing continues from Monday to Saturday six days a week from Monday to Saturday ha... It sounds like it's in the house, not just another sound, and it seems like you're not at the house, but at the construction site. I can't sleep, my headaches get worse, I can't sleep even when I go to work, my condition deteriorates and my body has no strength all day. My chest pain started a while ago. The real estate might not be that loud, but he only makes such a sound.. Who the hell should I complain to? I didn't know it was this much because I didn't even see the floor under construction. Wooden planks and elbe are only complex with solid wood materials and people on the site. What should I do? Is it possible to compensate or adjust the monthly rent? If the construction is underway so seriously, shouldn't it be done with real estate? Unlike the announcement that was until February 10th, the announcement posted by the on-site people says it is until March 29th. The sound of drilling and nailing is not momentary, but continuous, and vibration is felt even in the bed.",administration
How do I know if it is a studio direct scam or not,"The situation is like this. I found out at a direct transaction cafe, but he is the current landlord, but he said that he should not give it to someone else to make a vacancy in the room by trading, so it was originally 200/300,000 won, but it was 200/250,000 won and decided to support 500,000 won for a one-year contract. I'm going to sign a contract with a new landlord, but he asked me to keep the subsidy to the new landlord. I'm told that it's less than 6 months, so I have to make a one-year contract. I decided to do it by direct transaction, not real estate, but the former landlord who gives me support is an elementary school teacher and all certifications are all certified. It is possible, and I decided to certify the registered copy as well. Is it reliable?",contract
I'm trying to change the name of the one-room officetel contract and extend it.,"I lived in Officetel A for about 2 years. The contract period ends at the end of February. My brother, who moved to Officetel B in early February, told me that he wanted to continue living at Officetel A for about a year. Are you extending the contract by changing it to a name? Or is it rewriting? 2. Do I have to write a contract at the end of February? Or can I set the contract period to the end of the month in early February and write the contract in advance? 3. Should I tell the landlord about the above and then go to the real estate and write a contract? If so, should I give money to the real estate agent?4. The contract date for Officetel A ends at the end of February. Can I immediately report the move-in after moving to Officetel B in early February? (Is it possible to overlap) 5. If you have any advice you would like to share, please!",monthly
I have built a house on my father's land and have lived there for more than 30 years.,"Hello, this time I sold my father's land. There are some people who have built houses on our land for more than 30 years. I naturally lived in the place where my deceased father lived. He's a grandfather and grandmother. After several decades of not receiving the city tax or things properly, he has been receiving the city tax of 100,000 won a year from 7-8 years ago, and has been receiving about 300,000 won a year until the last 2-3 years. But this time, when it was time to sell the land, I arranged the house and asked for a move and said that I would pay a small amount of moving expenses. We let them live without receiving the city tax from them properly, and after remodeling the house where we live at will, we only told him that later. It is a house with asbestos and a slate roof, so it costs quite a bit for the demolition and report it. It's also our position.. I think it's too much because I'm asking for 13 million won right now. Is this cost really appropriate? Also, when I removed the building ledger, I was embarrassed because the owner came out separately. As for the area they use, the name of the deceased grandfather is listed as the owner, and on the other side, it is owned by the father, including the number of floor spaces as much as their buildings in the building ledger. Why is this?",monthly
(Real estate) Inquiries regarding charter from the rental business-Including guarantee insurance-,"We would like to inquire to experts regarding charter. After the two-year charter contract ended, we extended one year. The landlord is a rental business. After the extension contract, the landlord's main debt problem (guarantor said: the tenant who owns another building of the current landlord) first received a refund for the guarantee insurance and signed up with the current landlord and the guarantor due to debt problems. Because of this, I contacted the landlord, but the landlord was unable to contact me, and the agent was constantly contacting me, so I asked him to take action to get a guarantee insurance. It has already been 3 months since the renewal of the contract, but there is no news, and now even the agent is not contacted. What I can do in the current situation, and if I can't contact you, I'd like to ask you how to solve it. The renewal expiration is November 15, 21. Please advise!",law
Whether a special job for newlyweds is possible (there is a history of owning a house),"Hello, I and my husband reported their marriage in April 2017 and lived at an officetel on a monthly rent. In August 2017, they purchased a 30-year-old 17 pyeong apartment under the joint name of 160,000 and disposed of it in January 19 when they moved However, I gave up because I was not allowed to have a history of one-homed in the status of the newlyweds' special job status.. I heard that there are exceptions such as small houses or low-cost houses that can be recognized as homeless. It is difficult to understand because the words are also different and difficult to understand. Please answer as much as you know... Thank you ^^","Sales, subscription"
Regarding the Lease Protection Act,"I signed a two-year contract for a studio, and then I'm going to leave the room, because I was the first student in society, so I didn't know anything about it. So I didn't know I had to talk about it a month or two ago, so I told the landlord three weeks ago. But when I looked up the protection law to intellectuals, there were some sayings that only contracts that were renewed after 10th December 2020 only need to be told 2 months in advance, and after December 10th, when you leave the room, you have to say 2 months before unconditionally. What is the right ㅠㅠ?",law
